 ,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday.1,Sunday.1,Monday.1,Tuesday.1,Wednesday.1,Thursday.1,Friday.1,Saturday.2,Sunday.2,Monday.2,Tuesday.2,Wednesday.2,Thursday.2,Friday.2,Saturday.3,Sunday.3,Monday.3,Tuesday.3,Wednesday.3,Thursday.3,Friday.3,Saturday.4,Sunday.4,Monday.4,Tuesday.4
SR,NIL,NIL,63,63,65,63,65,NIL,NIL,65,63,65,60,60,NIL,NIL,AWI 63/65,60,60,63,65,NIL,NIL,AWI,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Events,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
NIL,30 September,1 October,2 October,3 October,4 October,5 October,6 October,7 October,8 October,9 October,10 October,11 October,12 October,13 October,14 October,15 October,16 October,17 October,18 October,19 October,20 October,21 October,22 October,23 October,24 October,25 October,26 October,27 October,28 October,29 October,30 October,31 October
A2(D),Delta,Kym,Crafter,Sober,Delta,Crafter,Wicad,Thanos,Louis,Hector,Crafter,Focus,Thanos,Thanos,Delta,Focus,Hector,Louis,Thanos,Sober,Delta,Sober,Zero,Thanos,Crafter,Thanos,Focus,Louis,Louis,Zero,Focus,Wicad
A2(N),Louis,Focus,Delta,Louis,Sober,Eyemo,Delta,Sober,Wicad,Bus,Sober,Louis,Bus,Focus,Kym,Wicad,Eyemo,Wicad,Focus,Kym,Crafter,Focus,Delta,Halftime,Wicad,Zero,Crafter,Focus,Rhythm,Halftime,Rhythm,Halftime
G1,Chimney,Lightyear,Darts,Hammer,Diva/Aslan,Chisel,Diva/Aslan,Halo,Chisel,Calcium/Lightyear,Chimney,Lightyear,Chisel,Diva,Aslan,Hammer,Darts,Diva,Chimney,Lightyear,Aslan,Diva,Calcium,Hammer,Diva,Razor/Lightyear,Chimney,Diva,Chimney,Chisel/Aslan,Chimney,Hammer
G2,Aslan,Psycho,Sprite,Snap,Calcium,Psycho,Tonic,Rubik,Snap,Sprite,Tonic,Comic,Snap,Sprite,Tonic,Comic,Calcium,Psycho,Two-Face,Calcium/Mafia,Comic,Rubik,Mafia,Psycho,Comic,Calcium,Gengar,Mafia,Sprite,Gengar,Sprite ,Two-Face
G3A,Cleric,Ignite,Cleric,Gundam,Ignite,Gundam,iMACS,Do-it,Zinc,iMACS,Two-Face,Zinc,Do-it/iMACS,Two-Face,Gundam,Two-Face,Cleric,Do-it,Zinc,Cloudy,Do-It,iMACS,Zinc,Two-Face,Do-it,Ignite/Two-Face ,Zinc,Flare/Ignite,Cloudy,Cleric,Cloudy,Do-it
G3S,Calcium,Peanut,Fury,Peanut,Mafia,Ghost,Peanut,Ghost,Fury,Bolt/Peanut,Fury/Ghost,Cadence,Peanut/Bolt,Ghost,Calcium,Bolt,Peanut,Wasp,Ghost,Bolt,Wasp,Cadence,Fury,Bolt,Cadence,Wasp,Ghost/Fury,Wasp,Bolt,Wasp,Cadence,A Wong
G4,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
A2(D) Stby,Crafter,Delta,Delta,Kym,Focus,Focus,Sober,Crafter,Hector,Sober,Kym,Kym,Delta,Hector,Thanos,Hector,Sober,Delta,Kym,Rhythm,Rhythm,Halftime,Thanos,Focus,Zero,Hector,Sober,Halftime,Hector,Sober,Delta,Zero
A2(N) Stby,Kym,Wicad,Focus,Crafter,Kym,Kym,Kym,Kym,Focus,Thanos,Focus,Sober,Crafter,Delta,Louis,Delta,Kym,Crafter,Sober,Zero,Halftime,Rhythm,Hector,Rhythm,Hector,Focus,Rhythm,Hector,Delta,Kym,Zero,Sober
G1 Stby,NIL,Diva,Hammer,Diva,Aslan/Chisel,Hammer,Aslan/Diva,Diva,Lightyear,Chimney,Hammer,Chisel,Hammer,Aslan,Chisel,Chimney,Chisel,Hammer,Lightyear,Diva,Chisel,Calcium,Chisel,Diva,Lightyear,Chisel,Hammer,Hammer,Aslan,Lightyear,Hammer,Chisel
G2 Stby,NIL,Tonic,Comic,Mafia,Psycho,Comic,Snap,Comic,Psycho,Mafia,Comic,Mafia,Tonic,Psycho,Psycho,Psycho,Psycho,Tonic,Comic,Psycho,Calcium,Psycho,Comic,Chisel,Chisel,Psycho,Mafia,Comic,Psycho,Comic,Mafia,Comic
G3A Stby,NIL,Gundam,Do-it,Ignite,Cleric,Do-it,Ignite,Cleric,Gundam,Cleric,Gundam,Do-it,Ignite,ZInc,Do-it,iMACS,Zinc,Two-Face,Cleric,iMACS,Two-Face,Cloudy,Cleric,Cloudy,Zinc,Cloudy/Ignite,iMACS,Two-Face,Ignite,iMACS,Two-Face,Zinc
G3S Stby,NIL,Fury,Peanut,Ghost,Ghost,Peanut,Fury,Calcium,Calcium,Peanut/Ghost,Calcium,Bolt,Wasp,Wasp,Peanut,Wasp,Ghost,Bolt,Peanut,Cadence,Cadence,Bolt,Ghost,Peanut,Wasp,Bolt,Peanut,Bolt,Ghost,Calcium,Bolt,Wasp
G4 Stby,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
