Unnamed: 0,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday.1,Thursday.1,Friday.1,Saturday.1,Sunday.1,Monday.1,Tuesday.1,Wednesday.2,Thursday.2,Friday.2,Saturday.2,Sunday.2,Monday.2,Tuesday.2,Wednesday.3,Thursday.3,Friday.3,Saturday.3,Sunday.3,Monday.3,Tuesday.3,Wednesday.4,Thursday.4
ROLES,1 November,2 November,3 November,4 November,5 November,6 November,7 November,8 November,9 November,10 November,11 November,12 November,13 November,14 November,15 November,16 November,17 November,18 November,19 November,20 November,21 November,22 November,23 November,24 November,25 November,26 November,27 November,28 November,29 November,30 November
G1 Day,Chisel,Lightyear,Hammer,Chisel,Hammer,Chimney,Chisel,Chimney,Hammer,Aslan,Hammer,Diva,Chisel,Beast,Chimney,Calcium,Chimney,Aslan,Beast,Calcium,Beast,Calcium,Tonic,Beast,Halo,Calcium,Chisel,Diva,Lightyear,Tonic
G1 Night,Chisel,Lightyear,Hammer,Chisel,Hammer,Chimney,Chisel,Chimney,Hammer,Aslan,Hammer,Lightyear,Chisel,Beast,Chimney,Calcium,Chimney,Aslan,Beast,Calcium,Beast,Calcium,Tonic,Beast,Halo,Calcium,Chisel,Diva,Lightyear,Tonic
G2 Day,TwoFace,Calcium,Sprite,Comic,Seeker,Sprite,Snap,Cadence,Gengar,Mafia,Rubik,Chimney,Sprite,Snap,Comic,Psycho,Snap,Rubik,Seeker,Snap,Mafia,Snap,Psycho,TwoFace,Mafia,Snap,Zinc,Snap,Mafia,Cadence
G2 Night,TwoFace,Psycho,Sprite,Comic,Seeker,Sprite,Snap,Cadence,Gengar,Mafia,Rubik,Comic,Psycho,Snap,Comic,Psycho,Snap,Rubik,Seeker,Snap,Mafia,Snap,Psycho,TwoFace,Zinc,Snap,Zinc,Snap,Mafia,Cadence
G3A Day,iMACS,Flare,Cloudy,Flare,Do-it,Gundam,Do-it,Cleric,Cloudy,Flare,Ignite,Do-it,Zinc,Do-it,Flare,Cloudy,iMACS,Flare,Cleric,Cloudy,iMACS,Cleric,Cloudy,iMACS,Cleric,Flare,iMACS,Cloudy,iMACS,Do-it
G3A Night,iMACS,Flare,Cloudy,Flare,Do-it,Gundam,Do-it,Cleric,Cloudy,Flare,Ignite,Do-it,Zinc,Do-it,Flare,Cloudy,iMACS,Flare,Cleric,Cloudy,iMACS,Cleric,Cloudy,iMACS,Cleric,Flare,iMACS,Cloudy,iMACS,Do-it
G1 Day Stby,Lightyear,Hammer,Chimney,Beast,Calcium,Chisel,Hammer,Lightyear,Diva,Lightyear,Diva,Chisel,Hammer,Chimney,Lightyear,Hammer,Chisel,Hammer,Lightyear,Diva,Lightyear,Chisel,Beast,Calcium,Chisel,Chimney,Beast,Hammer,Beast,Chimney
G1 Night Stby,Lightyear,Hammer,Chimney,Beast,Calcium,Chisel,Hammer,Lightyear,Diva,Chisel,Diva,Chisel,Hammer,Chimney,Lightyear,Hammer,Chisel,Hammer,Lightyear,Diva,Lightyear,Chisel,Beast,Calcium,Chisel,Chimney,Beast,Hammer,Beast,Chimney
G2 Day Stby,Mafia,Snap,Mafia,TwoFace,Psycho,Snap,TwoFace,Comic,TwoFace,Snap,TwoFace,Comic,Psycho,Zinc,TwoFace,Mafia,Comic,Zinc,Snap,Zinc,Psycho,TwoFace,Mafia,Snap,Zinc,TwoFace,TwoFace,Psycho,TwoFace,Zinc
G2 Night Stby,Mafia,Snap,Mafia,TwoFace,Psycho,Snap,TwoFace,Comic,TwoFace,Snap,TwoFace,Chimney,Sprite,Zinc,TwoFace,Mafia,Comic,Zinc,Snap,Zinc,Psycho,TwoFace,Mafia,Snap,Mafia,TwoFace,TwoFace,Psycho,TwoFace,Zinc
G3A Day Stby,Cloudy,Ignite,Cleric,Ignite,Cloudy,Flare,Cloudy,Flare,Do-it,iMACS,iMACS,Cleric,Flare,iMACS,iMACS,Do-it,Cleric,Ignite,Do-it,iMACS,Flare,Cloudy,iMACS,Flare,Do-it,Ignite,Do-it,Cleric,Cloudy,Ignite
G3A Night Stby,Cloudy,Ignite,Cleric,Ignite,Cloudy,Flare,Cloudy,Flare,Do-it,iMACS,iMACS,Cleric,Flare,iMACS,iMACS,Do-it,Cleric,Ignite,Do-it,iMACS,Flare,Cloudy,iMACS,Flare,Do-it,Ignite,Do-it,Cleric,Cloudy,Ignite
G1 (R) Day,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,Lightyear,Hammer,Chisel,NIL,NIL,Diva,Lightyear,NIL,NIL,NIL,NIL,NIL,Beast,Hammer,NIL,NIL
G2 (R) Day,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,TwoFace,Mafia,Comic,NIL,NIL,Zinc,Psycho,NIL,NIL,NIL,NIL,NIL,TwoFace,Psycho,NIL,NIL
G3A (R) Day,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,iMACS,Cleric,Cleric,NIL,NIL,iMACS,Cleric,NIL,NIL,NIL,NIL,NIL,Cloudy,Cleric,NIL,NIL
G3S (R) Day,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,Bolt,Aderic,Peanut,NIL,NIL,Aderic,Bolt,NIL,NIL,NIL,NIL,NIL,Wasp,Ghost,NIL,NIL
